rf1,gwl1,rf2,gwl2,rf3,gwl3,rf4,gwl4,rf5,gwl5,rf6,gwl6,rf7,gwl7,rf8,gwl8,rf9,gwl9,rf10,gwl10,rf11,gwl11,rf12,gwl12,Inflow
17.0,8.37837,3.14,9.213093,9.68,9.179483,1.81,9.283441,1.62,9.295455,0.0,9.131583,0.48,10.216217,0.0,9.723794,0.0,8.821431,0.0,9.696416,0.0,9.729519,0.0,9.515756,11.895329441201005
32.94,8.443236,7.03,9.050147,22.49,9.035294,8.09,9.109245,21.2,9.00795,0.0,9.126967,0.0,10.009223,0.0,9.736454,6.39,8.94289,0.0,9.701438,0.0,9.725745,0.0,9.539467,13.96371976647206
36.43,8.556054,12.69,9.03965,41.6,9.081318,37.19,8.899534,29.25,9.013359,1.32,8.855155,1.13,9.774266,0.17,9.697373,10.54,8.900076,0.0,9.73182,0.0,9.723691,0.0,9.563472,13.517514595496248
53.68,8.58504,13.94,8.958424,39.65,9.010852,22.31,8.858036,40.57,8.703527,1.11,8.766651,2.26,9.605216,0.29,9.666221,14.11,8.882909,0.0,9.721473,0.0,9.723669,0.0,9.586028,25.768696135668613
55.97,8.312388,17.34,8.652225,58.29,8.617457,55.76,8.118071,53.75,7.974566,0.53,8.804384,1.22,9.681774,0.41,9.618292,17.76,8.363374,0.0,9.713139,0.0,9.725262,0.0,9.600462,28.20197386711148
49.61,8.184503,11.78,8.606681,44.99,8.61226,37.4,8.223295,50.83,7.563743,0.74,8.788162,0.97,9.733355,0.0,9.721608,17.91,8.033172,0.0,9.70364,0.0,9.728179,0.0,9.613677,28.062969140950795
35.29,8.154008,7.16,8.592058,40.28,8.611596,36.18,8.07742,18.92,7.662122,0.0,8.971912,0.32,9.920121,0.0,9.7273655,6.04,8.601178,0.0,9.693043,0.0,9.732553,0.0,9.625544,19.329302196274675
13.87,8.156703,5.03,8.716017,14.71,8.771419,9.64,8.327085,0.91,9.114183,0.0,8.953797,0.0,10.174358,0.0,9.740104,0.0,8.524799,0.0,9.681418,0.0,9.738496,0.0,9.635928,13.610647762023907
7.33,8.512262,2.2,9.024548,11.56,8.908894,11.58,8.460907,0.72,9.254672,0.0,9.003356,0.0,10.403046,0.0,9.755873,0.0,8.926697,0.0,9.668854,0.0,9.745831,0.0,9.644773,10.853489018626634
11.53,7.928513,2.06,9.058567,7.01,9.103554,2.91,9.056152,13.73,8.4114685,0.0,9.060258,1.23,9.981902,0.76,9.452172,5.45,8.967799,0.0,9.655438,0.0,9.754613,0.0,9.651819,9.927022518765638
10.77,8.069753,2.44,9.101163,9.54,9.059531,0.28,9.121992,0.0,9.212907,0.0,9.128107,20.34,10.340597,1.05,9.419145,0.0,8.944338,0.0,9.64128,0.0,9.764963,0.0,9.657029,9.721990547678622
32.95,7.9559145,6.49,8.866669,24.3,8.894769,9.83,8.792995,4.44,9.173078,0.36,8.859308,34.64,8.392317,2.28,9.65584,10.87,8.97866,12.89,9.940893,9.94,8.89475,51.62,7.907839,7.197664720600501
3.78,8.598545,0.68,9.268591,2.19,9.277732,0.35,9.338254,0.0,9.484238,0.0,9.04044,0.65,8.563765,0.0,9.603397,0.0,8.975871,0.0,9.761527,0.0,9.025351,0.0,8.004285,6.945371142618848
0.93,8.818317,0.15,9.376243,4.45,9.267661,9.82,8.950895,4.24,9.305421,0.0,9.051815,15.53,9.126768,10.93,10.207953,4.01,8.986125,0.71,9.81905,22.95,8.53428,4.85,9.178419,7.28037253266611
0.11,9.014882,0.0,9.523307,0.55,9.370566,1.79,9.299679,6.05,9.22578,0.0,9.064978,2.84,9.116938,2.1,10.126162,2.6,8.992265,0.51,9.819227,9.73,9.70859,8.11,9.23199,8.283291631915487
1.79,9.249434,0.92,9.624617,2.32,9.416443,1.2,9.3991375,1.27,9.471201,0.41,8.813597,9.86,9.763226,1.04,10.071131,4.99,8.962078,3.69,9.963722,5.2,9.797884,13.75,8.588019,7.053794829024187
6.12,9.371546,1.22,9.769409,11.63,9.205155,11.66,9.030948,4.75,9.301892,0.0,9.02441,5.41,9.734937,0.38,10.068663,1.65,8.969352,0.14,9.778716,13.64,9.31213,0.75,9.229372,7.077425632471505
0.65,9.798922,0.0,9.968366,1.07,9.408304,2.95,9.270353,5.58,9.238203,0.0,9.039127,0.57,9.588333,0.0,10.02137,0.84,8.927851,0.0,9.707788,0.0,9.047967,0.0,9.308703,7.734917987211565
4.05,9.547838,0.82,9.79947,5.1,9.323808,6.63,9.168715,1.86,9.385079,1.41,8.819803,4.38,9.66722,13.05,10.398799,4.82,8.9655485,0.12,9.613657,6.77,10.4585,0.0,9.365512,4.883931053655824
1.86,9.650134,0.18,9.856413,2.08,9.361674,0.54,9.384117,2.26,9.418312,0.0,8.928078,12.04,9.626885,1.06,10.283524,0.84,8.904296,0.0,9.610885,0.0,10.156845,7.87,9.367308,5.34681679177092
0.0,9.839379,0.0,9.9432955,0.0,9.42881,0.0,9.460934,0.0,9.544933,0.0,8.939393,0.0,9.44786,0.0,10.249617,0.0,8.860336,0.0,9.699724,0.0,10.279922,0.0,9.224996,4.325827078120656
0.57,10.021171,0.0,9.997402,5.93,9.300539,15.56,9.132408,4.19,9.35226,0.0,8.960774,5.6,9.593891,32.23,8.150479,30.12,8.401517,21.13,9.702838,18.83,9.821338,22.65,8.762082,5.750625521267724
45.07,8.87314,9.6,9.155243,29.13,9.12913,7.19,9.168948,74.91,8.173032,5.62,8.981991,13.1,9.48763,2.75,9.025652,42.51,7.3330956,12.58,9.820621,11.15,9.552604,48.75,6.9383993,8.968584931887687
27.68,8.720795,7.19,9.039349,29.44,9.059515,24.46,9.0565605,24.01,8.714976,12.93,8.603127,10.5,9.369475,5.7,9.588255,14.47,7.8195386,33.49,7.351477,7.68,9.529667,52.46,6.6675096,5.071587433972756
2.73,9.21693,0.0,9.18993,16.36,9.022217,16.91,8.935867,4.23,8.960004,0.0,8.511445,38.17,7.5353904,7.73,9.40285,7.05,8.012392,8.0,8.4404955,24.72,7.40115,7.1,6.937653,5.017375590770087
6.44,9.084881,14.98,9.072424,15.29,9.029723,17.29,8.93595,5.98,9.021932,9.76,9.136332,3.23,8.116782,0.17,9.113462,2.11,8.333046,0.36,7.8312345,0.44,7.845824,0.0,7.8118463,4.645537948290243
4.08,9.210554,1.03,9.154729,3.01,9.190622,3.86,9.2043085,3.35,9.198808,2.12,9.658797,0.34,8.324499,0.0,9.590244,1.33,8.946723,0.0,8.914797,0.0,8.725156,0.0,8.09312,4.359883236030026
3.14,9.313056,9.91,9.044769,13.09,9.093373,12.76,8.951228,8.49,9.107232,12.27,8.789334,52.75,7.134264,24.98,8.304771,12.62,9.077331,11.1,9.388468,1.39,9.221108,2.85,9.002847,3.359744231303865
0.0,9.580569,0.0,9.172653,0.16,9.173245,0.0,9.267851,0.84,9.349825,0.0,9.373309,1.29,7.6565795,0.0,8.724027,0.35,9.182324,0.0,9.434024,0.0,9.223514,0.0,9.098529,4.870725604670559
1.52,9.630967,0.22,9.179457,16.75,9.103855,15.46,9.0367985,27.77,9.08686,1.41,10.158339,80.74,6.989596,19.76,7.9490047,62.98,7.546353,89.03,5.1783223,80.92,6.412107,107.48,4.202648,5.711009174311927
19.62,9.163518,22.76,8.820254,33.51,9.080765,37.45,8.976617,13.53,8.939276,7.11,10.178627,0.3,8.005087,11.04,8.173068,11.52,7.6895137,5.97,6.929374,4.19,7.29035,11.24,6.492417,4.355018070614401
14.78,9.111177,3.06,9.062637,12.36,9.060399,4.38,9.163393,0.84,9.269889,0.0,9.94104,4.04,8.068909,0.52,8.158164,0.35,8.645582,0.0,7.423004,0.0,7.59959,0.0,8.250633,4.478732276897415
0.68,9.287731,0.0,9.164175,1.79,9.133978,0.0,9.23789,1.0,9.272647,0.0,10.134773,14.22,8.575702,1.23,8.900261,0.98,8.888715,3.28,7.9307446,0.45,7.855024,5.21,7.589668,3.4772032249096467
14.83,9.106326,2.97,9.12427,16.91,9.013412,11.6,9.013667,0.13,9.276144,0.0,10.069326,0.0,8.731804,0.0,8.955743,0.0,9.177941,0.0,8.095943,0.0,8.4174595,0.0,8.962233,3.0205726994717814
1.24,9.255081,0.0,9.16489,6.54,9.115841,12.82,9.012645,0.39,9.51993,0.0,9.822664,1.87,9.207612,21.33,8.5286875,7.56,9.080005,0.0,8.917384,0.0,9.053499,0.0,9.101707,2.4840144564915208
2.77,9.243836,0.25,9.361527,8.54,9.090003,12.98,9.037035,2.51,9.623312,0.0,9.389373,0.21,9.207191,1.7,8.85255,1.26,9.313922,0.0,8.936032,0.0,9.224312,0.0,9.349682,3.160967472894078
3.58,9.231635,2.06,9.141068,5.38,9.077657,2.76,9.238094,0.5,9.673674,0.0,9.414849,17.76,9.115088,0.91,8.89232,0.0,9.384179,0.0,8.957436,0.0,9.212241,0.0,9.444437,3.2763413956074503
0.86,9.241643,0.74,9.226115,1.71,9.035582,0.8,9.22398,0.48,9.656536,0.0,9.440009,16.0,9.06493,3.65,8.911621,0.0,9.471178,0.0,9.058382,0.0,9.213047,0.0,9.667074,3.002849596886294
22.01,9.113966,4.18,9.042006,24.06,9.005825,11.33,9.10745,8.5,9.055637,1.1,9.933814,50.27,7.638161,4.73,8.892475,3.49,9.208029,0.0,9.041063,0.37,9.092525,0.0,9.656763,2.729357798165138
5.38,9.138043,3.21,9.049583,7.5,9.039994,7.09,9.149016,0.82,9.126661,0.0,9.592186,0.0,8.727428,0.18,8.922817,0.0,9.580969,0.0,9.024726,0.0,9.124639,4.11,9.12567,3.008757297748124
14.07,9.057745,3.56,9.035426,8.37,9.021249,0.74,9.175672,0.11,9.161425,0.0,9.582195,0.0,8.91192,1.93,8.9351,0.69,9.586547,6.36,8.943693,0.0,9.11315,0.16,9.325715,3.2325549068668336
12.21,9.04576,9.95,8.985863,13.14,8.985592,12.69,9.077197,6.46,8.998332,1.61,10.227255,18.55,8.851693,35.14,7.741174,13.19,9.135942,0.0,8.880759,0.0,9.105293,0.0,9.367315,2.0176536002224075
2.86,9.08879,28.98,8.041459,4.77,9.00171,5.79,9.116383,6.33,9.00288,15.09,9.399071,5.41,8.910874,1.82,8.381033,2.44,9.180973,0.36,8.865108,0.0,9.096766,1.71,9.24954,2.6007784264664995
