rf1,gwl1,rf2,gwl2,rf3,gwl3,rf4,gwl4,rf5,gwl5,rf6,gwl6,rf7,gwl7,rf8,gwl8,rf9,gwl9,rf10,gwl10,rf11,gwl11,rf12,gwl12,Inflow
23.14,8.8004465,3.67,9.0759325,18.11,9.006163,13.75,8.925732,15.15,8.184469,0.0,9.077473,0.0,8.776996,0.0,8.941955,4.11,9.126568,0.0,9.395745,0.0,8.845922,0.0,9.077657,8.055323881011956
30.45,8.874343,6.54,9.020064,25.17,9.0170555,14.89,8.936116,15.61,8.193152,0.0,8.932413,0.0,8.893562,0.0,8.839165,4.22,9.151649,0.0,9.4267025,0.0,8.831326,0.0,9.101083,10.369752571587432
29.83,8.854681,5.96,9.00879,26.48,9.020904,17.88,8.952459,17.69,8.243411,0.0,8.889034,0.16,8.882655,0.0,8.856271,5.06,9.098856,0.0,9.457468,0.0,8.843984,0.0,9.125769,15.45176536002224
38.8,8.830109,7.31,8.997005,34.38,9.015432,25.45,9.005756,20.5,8.363285,0.21,8.881146,4.22,8.921887,3.55,9.295776,8.11,8.991508,3.75,10.383575,0.25,8.864616,2.58,9.729668,11.593689185432304
24.04,8.75289,5.15,9.021864,22.35,8.997825,13.81,8.901728,6.41,8.582063,0.0,8.860723,0.0,8.959331,0.0,8.913739,1.55,9.245196,0.0,9.747573,0.0,9.043099,0.0,9.292221,10.159855435084792
12.62,8.811161,1.97,9.188946,12.3,9.053878,11.01,8.929691,7.07,8.556424,0.0,8.873049,0.0,9.043885,0.0,8.900331,1.93,9.234947,0.0,9.68035,0.0,9.03597,0.0,9.282072,9.669863775368365
9.57,8.932599,4.02,9.099655,7.7,9.153117,5.47,9.142044,6.19,8.714076,0.0,8.887118,0.16,9.118603,0.0,8.901332,1.58,9.246755,0.0,9.624654,0.0,9.030437,0.0,9.27668,9.04434250764526
22.74,8.776319,4.64,9.081814,19.71,9.015706,11.9,8.97148,9.86,8.617441,0.41,8.938137,8.63,9.068234,3.1,9.400972,3.56,9.192622,0.0,9.59023,0.0,9.026604,0.0,9.275756,8.388240200166805
27.29,8.818887,5.75,9.047611,27.84,9.040276,21.02,9.0138035,14.68,8.544306,0.0,8.907636,0.0,8.739433,0.0,8.963066,4.88,9.167067,0.0,9.578622,0.0,9.030745,0.0,9.263659,17.67584097859327
99.56,7.8138165,26.05,8.480017,109.58,7.9133115,90.75,7.587826,69.17,7.87645,1.16,9.212971,2.55,8.919646,0.35,9.017584,27.72,8.662089,6.67,10.473969,2.68,8.946112,4.72,10.142092,28.157492354740064
88.8,7.2929235,21.66,8.217346,76.74,7.845898,56.03,7.3709445,75.7,6.8664293,0.0,8.983665,0.45,8.774823,1.6,9.301695,30.69,7.954725,3.68,10.4234295,2.95,9.017061,5.88,10.099864,41.957186544342505
59.44,7.4103184,11.6,8.345951,64.97,7.7646947,56.69,6.873227,71.88,6.188158,0.0,8.989192,0.0,8.78981,0.0,9.043489,25.26,7.739395,1.92,10.357084,0.0,8.842135,0.0,9.940138,35.07158743397275
15.13,7.5013547,3.33,8.700714,16.48,7.9981523,14.96,7.020659,13.53,6.402734,0.0,8.996932,0.16,9.174689,0.0,9.003978,4.22,8.146387,0.36,10.275071,0.0,8.814481,0.0,9.893945,22.890603280511534
3.54,9.050325,0.53,9.048472,3.37,8.859978,3.18,8.884143,0.66,9.09088,0.0,9.022814,0.0,9.2408695,0.0,9.0369425,0.0,8.868137,0.0,10.156615,0.0,8.814439,0.0,9.768775,14.471087016958576
0.71,9.217815,0.15,9.27889,0.61,9.261293,1.03,9.255753,1.26,9.160963,0.0,9.044534,1.61,9.116888,0.0,9.077414,0.0,9.253326,0.0,9.734734,0.0,8.899458,0.0,9.470523,13.360439254934668
4.28,8.955543,0.78,9.329278,5.53,9.227068,5.14,8.830571,6.74,7.9233465,0.76,9.283573,16.23,9.350536,6.11,9.815217,4.97,9.002435,1.79,10.015662,10.03,9.140615,3.78,10.168943,8.773283291631916
0.94,9.518454,0.21,9.778269,0.93,9.476949,0.28,9.415937,0.0,9.139523,0.0,9.1217,1.21,9.306711,0.0,9.488844,0.0,9.477108,0.0,9.661524,0.0,9.095795,0.0,9.64244,8.712121212121213
0.86,9.894424,0.0,10.006784,0.65,9.719148,1.64,9.724826,0.7,9.78508,0.0,9.146478,0.33,9.284761,0.37,9.49218,0.23,9.692225,7.78,10.498253,0.0,9.073735,1.03,9.832136,7.067695301640256
0.82,9.994709,0.15,9.987776,1.74,9.721977,1.54,9.800602,0.2,10.021822,0.18,9.21963,3.39,9.421595,0.17,9.4010105,0.0,9.801607,0.0,10.272116,5.7,9.200138,0.0,9.649787,7.136502641089797
4.22,9.659249,0.68,9.814505,2.71,9.61057,1.84,9.768519,0.95,10.134622,0.0,9.209376,0.0,9.110116,0.0,9.278348,0.0,9.918294,0.0,10.186043,0.0,9.140056,0.0,9.577425,7.58479288295802
0.64,9.868911,0.0,9.85894,3.22,9.538392,7.83,9.184311,7.15,9.071207,0.0,9.228051,0.0,9.085276,0.0,9.20956,1.63,9.677208,0.12,9.991306,7.77,9.177161,13.75,10.221739,4.661523491798722
0.0,9.922974,0.0,9.831763,0.0,9.571826,0.0,9.530105,0.0,9.756138,0.0,9.266817,0.0,9.239682,0.0,9.25457,0.0,9.88002,0.0,9.815514,0.0,9.150558,0.0,10.065546,4.970809007506255
0.0,9.962955,0.0,9.791705,0.0,9.602518,0.0,9.636404,0.0,9.927712,0.0,9.306628,0.0,9.357576,0.0,9.304122,0.0,9.882715,0.0,9.651482,0.0,9.123147,0.0,10.0940275,5.396163469557965
0.0,9.984855,0.0,9.759542,0.0,9.640842,0.0,9.7674265,0.0,10.068639,0.0,9.345339,0.0,9.521766,0.0,9.35275,0.0,9.867123,0.0,9.676785,0.0,8.927206,0.0,10.050114,2.809980539338338
0.0,10.027761,0.0,9.737767,0.0,9.670692,0.0,9.897586,0.0,10.203051,0.0,9.388579,0.0,9.578414,0.0,9.401691,0.0,9.851655,0.0,9.698744,0.0,8.880717,0.0,9.890778,3.5953572421462336
0.0,9.979068,0.0,9.683477,0.0,9.678179,0.0,10.08211,0.0,10.39646,0.0,9.432079,0.0,9.652595,0.0,9.452605,0.0,9.874409,0.0,9.718327,0.0,9.044597,0.0,9.391193,4.813733666944677
1.17,9.855837,0.15,9.617037,2.62,9.504331,5.89,9.210814,4.13,9.633968,0.0,9.475111,0.0,9.740923,0.97,9.582692,2.3,9.1510315,1.71,9.855134,18.29,9.170983,9.46,10.274094,4.039477342229636
1.82,9.687566,4.15,8.8900795,4.32,9.216311,6.49,9.17174,2.32,9.685653,14.54,9.6778755,1.54,9.5268,4.03,10.405876,4.72,9.00846,10.53,10.507225,4.15,9.1967745,13.63,9.999818,5.961217681401167
4.73,9.3037815,0.88,8.896193,2.57,9.152092,0.46,9.246089,5.44,9.277022,0.0,9.740062,0.0,9.795728,0.43,10.0032425,0.77,8.996097,0.0,10.24953,0.0,9.116173,2.84,9.952245,6.099527383931054
0.62,9.358005,0.0,8.886387,4.07,9.026318,3.96,9.164357,2.24,9.362969,0.96,10.06053,12.86,10.409831,3.73,10.383169,4.43,9.003958,5.15,10.537583,9.2,9.148614,0.53,9.87323,7.866972477064221
9.11,9.057992,1.03,8.892442,11.33,8.96215,15.65,9.075249,13.57,9.141736,0.48,10.086069,10.96,10.454083,14.62,10.041724,9.85,8.940788,1.41,10.336395,2.35,9.129707,3.38,10.057955,7.839866555462885
10.92,9.068968,3.69,8.918468,17.2,8.958832,18.21,9.027618,18.94,9.054218,0.0,10.099211,0.26,10.128487,0.59,9.95083,7.02,8.913835,0.12,10.275003,0.26,9.135568,0.0,9.905071,12.84681679177092
80.03,8.455015,19.55,8.766405,66.52,8.629811,32.39,8.959293,38.12,8.891391,0.0,9.41531,0.32,10.2301655,0.0,10.0900955,12.65,8.952718,0.0,9.95351,0.0,9.054059,0.0,9.528082,15.34681679177092
14.92,8.933755,2.67,8.876785,11.8,8.894165,13.49,8.985874,29.83,8.769929,0.0,9.423032,0.0,10.107323,0.0,10.171269,9.55,8.918943,0.36,9.837933,0.0,8.943479,0.0,9.369931,18.936613844870728
29.56,8.844501,5.21,8.880979,29.95,8.875917,25.77,8.852303,29.42,8.609747,0.0,9.419698,0.0,9.676613,0.35,10.034808,9.96,8.896165,0.36,9.673544,0.0,8.921211,0.0,9.334314,17.8829580205727
22.18,8.90899,4.23,8.89325,17.36,8.905268,10.74,8.978139,21.02,8.693826,0.0,9.4510765,0.0,10.110404,0.0,9.420427,7.38,8.927776,0.0,9.704157,0.0,9.023565,0.0,9.300713,14.066583263830973
5.03,8.939925,1.09,8.910651,4.19,8.908981,2.54,9.073837,4.94,8.970515,0.0,9.494145,0.0,10.25773,0.0,9.470174,1.41,8.941863,0.0,9.714162,0.0,9.043974,0.0,9.3383465,10.53586321934946
0.14,9.065774,0.44,8.844013,2.55,8.974555,3.77,9.140299,0.83,9.218785,8.48,10.356582,11.16,10.486385,8.94,10.375595,2.94,9.0046425,2.06,9.923832,1.1,8.985269,0.0,9.374921,9.12496524881846
0.64,9.055596,0.15,8.7373705,0.87,8.909135,2.24,9.120981,4.81,9.200816,0.0,10.200304,0.15,10.126972,5.61,10.395346,3.93,8.98215,0.0,9.712283,0.0,8.975558,22.25,9.725874,7.097581317764805
2.05,9.035618,0.44,8.925648,2.29,8.886671,2.72,9.080631,1.65,9.262486,0.17,10.246641,4.6,10.254452,9.06,10.163965,6.17,8.938184,30.83,8.999218,2.15,9.300465,23.74,8.104368,6.643730886850153
2.26,9.198473,0.54,9.132545,2.98,8.985659,1.47,9.113756,0.16,9.4210005,0.71,10.265095,13.4,10.561034,3.84,10.083296,4.86,8.952832,1.65,9.566282,3.74,9.54076,0.73,8.497584,5.868084514873505
6.44,8.957186,0.97,9.046704,6.85,8.858875,6.12,8.994825,8.58,9.128064,0.0,10.140239,1.73,10.247346,0.17,9.865751,3.48,8.968553,0.0,9.617532,0.0,9.23374,0.0,8.910222,5.957047539616347
0.0,8.976426,0.0,9.091579,0.0,8.81799,0.13,8.974001,0.0,9.192007,0.0,9.56136,0.0,10.262533,0.0,10.012148,0.0,8.911828,0.0,10.049567,0.0,9.124064,0.0,9.353315,4.5663052543786495
0.0,9.020291,0.0,9.154534,0.0,8.877391,0.0,9.035317,0.0,9.277702,0.0,9.570349,0.0,10.131964,0.0,9.810336,0.0,8.82939,0.0,10.271601,0.0,9.073739,0.0,9.508501,4.045732554906867
0.0,9.098874,0.0,9.223303,0.0,8.972602,0.0,9.157423,0.0,9.371706,0.0,9.578332,0.0,9.887141,0.0,9.32844,0.0,8.968452,0.0,9.514516,0.0,9.075997,0.0,9.008655,3.73366694467612
0.13,9.17326,0.0,9.282173,0.69,9.067547,0.89,9.227642,0.0,9.442146,0.0,9.585767,0.16,10.352564,0.0,9.351164,0.32,9.282604,10.16,10.419542,9.38,9.745108,2.69,9.5223675,3.63497358910203
1.03,9.246648,7.46,9.375384,0.92,9.144109,2.85,9.124351,24.42,9.038857,2.79,10.462197,0.0,10.587204,3.16,10.236208,47.8,7.7653785,85.17,5.4875097,35.98,7.477544,33.58,8.17176,4.333472338059495
0.31,9.178033,0.0,8.923916,0.0,9.091733,0.7,9.081894,13.2,8.934773,0.0,10.013708,0.0,10.718162,0.0,9.579862,5.44,8.439807,7.64,6.85184,0.0,7.841959,0.19,8.563649,7.467333889352239
7.05,8.824632,1.59,9.151562,4.76,8.921243,3.63,8.880486,12.44,8.921382,0.0,9.925968,0.0,10.84176,0.35,9.627643,11.48,8.323541,14.11,7.0002365,8.6,8.604187,10.58,8.852549,5.2599388379204886
0.0,8.803986,0.0,8.9034395,0.8,8.880969,4.45,8.826817,20.64,8.948016,0.0,9.834539,3.82,9.64957,12.38,10.265495,11.75,8.299624,0.0,7.2205644,0.0,8.374452,3.08,8.879093,4.393939393939394
0.0,8.854891,0.0,8.903771,0.0,8.898078,0.34,8.72286,0.0,8.843692,0.0,9.753786,0.0,10.291998,1.59,10.176237,19.02,7.8939385,12.04,7.769998,19.38,8.013713,15.93,8.442331,4.017931609674729
0.0,8.927887,0.0,9.300145,0.0,8.963419,0.0,8.795453,0.0,8.91906,0.0,9.664225,0.0,10.465831,0.0,10.126811,0.0,8.518431,0.0,8.802942,0.0,8.776692,0.0,8.867628,4.04434250764526
9.86,9.022838,31.09,8.408248,10.98,9.210761,8.05,9.007325,9.41,8.944732,27.11,8.276245,9.06,9.710711,5.49,10.32986,4.82,8.937001,0.0,8.9266,0.0,8.945003,0.0,8.999063,7.0134834584375865
23.67,9.109589,42.06,6.8381934,17.46,9.3492365,11.43,9.059655,51.43,8.415495,20.97,6.905044,8.34,9.907894,21.32,8.701097,27.82,8.085421,1.63,8.930398,0.0,9.019063,0.0,9.038275,5.709619127050321
2.67,9.064788,0.0,7.131581,0.42,9.040328,3.93,9.005361,41.95,8.044828,0.0,7.2591395,0.32,9.746544,5.21,9.498633,21.91,8.022472,25.26,8.384964,2.04,9.051052,22.81,8.64153,5.954267445093134
10.06,9.1838255,16.26,7.2856164,13.91,9.427928,26.73,9.05832,52.28,7.6008034,49.78,4.166561,14.65,10.103494,60.52,6.854866,67.44,6.0431957,46.95,7.2295866,63.09,7.366702,31.26,7.551101,4.808868501529051
1.18,9.07331,2.47,7.6839705,6.23,9.367915,7.77,9.0518465,0.34,7.9086595,3.3,6.6682744,6.35,10.172553,1.93,7.245348,0.95,8.2520275,3.25,7.920354,3.22,7.7566013,2.97,8.193766,4.466221851542953
0.19,8.868175,0.0,8.3308,2.38,9.196073,3.92,9.052682,6.85,8.582948,0.28,7.4627175,9.43,10.390661,9.12,7.5121408,14.17,7.471398,13.67,7.9372077,34.26,7.063867,28.6,7.4550605,3.078954684459272
0.0,8.7772,0.44,8.903929,0.0,8.84278,0.0,8.953751,0.0,8.880647,0.0,7.8174396,0.0,9.85631,0.0,7.632856,0.0,8.675635,0.0,8.18532,0.0,7.8725343,0.0,7.8214183,3.222824576035585
2.11,8.905664,6.89,8.912333,8.11,9.336092,8.64,9.119609,3.36,9.078862,4.87,8.668361,11.09,10.512241,1.26,8.471247,3.3,8.97103,4.54,8.927587,5.81,8.1653805,4.92,8.7284,2.6438698915763137
0.0,9.010034,0.0,8.784051,0.0,8.840766,0.0,8.726863,0.0,9.168776,0.0,8.981221,0.0,10.148027,0.0,8.89921,0.0,9.323361,0.0,9.171023,0.0,8.938798,0.0,8.934862,2.103836530442035
0.0,9.065678,0.0,8.715493,0.0,8.924737,0.0,8.688701,0.0,9.269576,0.0,8.941863,0.0,10.182678,0.0,8.83094,0.0,9.392342,0.0,9.159401,0.0,9.0913515,0.0,8.992308,2.8301362246316373
0.0,9.102973,0.0,8.768751,0.0,9.031255,0.0,8.830155,0.0,9.491745,0.0,8.906373,0.0,9.912588,0.0,8.922116,0.0,10.043202,0.0,9.171959,0.0,9.11253,0.0,8.931397,2.3915763135946624
0.0,9.140719,0.36,8.925985,0.3,9.123242,0.0,8.942966,0.0,9.502096,7.45,8.944057,3.45,9.894641,0.13,8.914873,0.32,10.040552,0.14,9.174324,0.32,9.103883,0.0,8.924049,2.487489574645537
18.99,9.737454,20.18,8.8311615,16.29,10.008905,8.0,9.245494,4.84,8.963877,11.53,8.779103,10.78,10.410862,0.52,8.87877,5.23,9.147318,7.05,9.084677,22.27,8.944855,5.13,8.964304,2.2595218237420074
0.0,9.076743,0.23,8.825384,0.0,9.086961,0.0,8.729049,0.0,9.170974,4.5,8.891232,0.85,10.197258,0.0,8.903057,0.26,9.417575,4.31,9.057593,1.13,9.056878,2.49,8.955906,1.9377258826800112
2.02,9.130439,24.51,7.8970804,2.3,9.176733,1.22,8.836024,0.3,9.200738,18.07,7.8479824,10.78,10.55629,0.52,8.846497,0.0,9.482997,0.8,9.110866,0.55,9.080558,4.58,8.934734,1.665971643035863
8.93,9.650147,0.74,8.1892,4.36,9.334136,4.97,9.1039915,9.08,8.922881,8.16,8.196895,18.1,10.106057,14.56,8.965476,22.41,9.002042,58.64,7.543671,27.45,8.257865,34.01,8.042004,4.621212121212122
24.84,9.790778,33.82,7.3047357,29.85,10.008584,23.93,9.424484,58.2,8.311468,42.11,6.4267974,84.66,6.7473493,27.09,7.756024,50.54,7.3815694,70.9,3.9571338,61.63,6.755744,75.8,6.3532996,5.634556574923547
0.54,9.555477,0.0,7.799945,1.85,9.783657,4.54,9.3787775,10.1,8.83375,10.23,6.7626204,7.37,7.209004,12.45,8.036203,22.07,7.571952,32.29,5.7617292,23.42,6.6197524,42.68,6.115096,3.584931887684181
1.16,9.536512,0.26,8.260882,2.51,9.782073,5.9,9.428189,0.33,8.622326,0.28,8.258814,3.11,7.31763,18.63,7.690396,10.69,7.3777184,10.59,5.972434,7.43,6.58682,25.55,6.113518,2.046149569085349
0.12,9.310559,0.0,8.867677,0.0,9.550026,0.0,9.262576,0.0,8.813118,0.0,8.837114,0.0,7.472033,0.0,7.902905,0.38,8.855539,6.97,6.187792,0.31,8.571731,3.1,6.5144386,2.72588268001112
0.0,9.053521,0.0,8.920507,0.0,9.269554,0.0,9.075669,0.0,8.895024,0.0,9.13425,0.0,8.546586,0.0,8.522426,0.0,9.160121,0.0,8.918355,0.0,9.057983,0.0,8.646691,1.9759521823742008
0.0,9.307986,0.0,9.571293,0.0,9.399293,0.0,8.896978,0.0,9.170047,0.0,9.241032,0.0,8.868777,0.0,9.004255,0.0,9.260429,0.0,8.669177,0.0,9.091857,0.0,9.112695,1.959966638865721
0.0,9.383296,0.0,9.543744,0.0,9.512661,0.0,9.096358,0.0,9.4449005,0.0,9.640631,0.0,9.262554,0.0,8.991885,0.0,9.755538,0.0,8.625405,0.0,9.500582,0.0,8.997114,1.3476508201278845
0.0,9.467402,0.0,9.523662,0.0,9.625196,0.0,9.274469,0.0,9.419854,0.0,9.647225,0.0,9.383669,0.0,9.1825075,0.0,10.449792,0.0,9.218836,0.0,9.974128,0.0,9.513126,3.92340839588546
0.54,9.5231285,0.0,9.492523,1.62,9.622017,4.66,9.163032,6.05,8.816564,0.94,9.318977,0.0,9.383419,0.0,9.152674,1.93,9.750462,0.0,9.821011,0.0,9.970045,0.0,9.678307,2.8426466499861
4.23,9.400737,0.81,9.326832,6.27,9.540888,6.72,9.667692,14.85,8.940064,2.68,9.147007,1.74,9.104205,0.0,9.124282,7.27,9.151562,0.65,9.54411,11.49,8.913208,0.29,9.588476,1.1384487072560467
0.0,9.534214,18.38,8.88484,0.72,9.612979,1.39,9.179906,7.17,8.941701,21.6,8.356903,8.07,9.421811,7.66,8.94905,21.72,8.923992,16.42,8.188354,49.27,7.2042165,44.09,7.926851,1.6555462885738117
0.64,9.6241045,0.87,8.888934,0.49,9.720384,0.0,9.099633,0.0,8.841377,0.32,9.080131,0.65,8.988237,0.0,8.936869,0.0,9.262547,0.0,8.727999,0.0,8.949748,0.0,9.102333,1.7438142896858493
0.0,9.77374,4.36,8.904982,0.51,9.835685,0.0,9.158877,1.51,8.844166,13.65,8.510369,6.18,9.40569,0.39,8.9126625,1.16,9.249089,0.23,8.757364,11.54,8.057016,1.13,8.933679,1.1530442035029191
0.0,9.927227,0.22,8.878423,0.0,10.027387,0.0,9.350605,0.0,8.691903,0.0,9.077235,0.0,9.135492,0.0,8.864508,0.0,9.284677,0.46,8.824984,4.57,8.2556925,0.6,8.952872,2.073950514317487
0.0,10.113734,0.0,8.865398,0.0,10.241989,0.0,9.592557,0.0,8.994479,0.0,9.164697,0.0,8.919444,0.0,8.833711,0.0,9.3314905,0.0,9.031504,0.0,9.115642,0.0,8.992802,1.6326105087572975
3.54,9.734917,1.77,8.825257,6.27,9.626147,2.79,9.471457,3.34,8.953592,3.94,8.592642,21.28,9.342456,2.45,8.879021,2.49,9.369684,3.44,8.903722,6.7,8.10916,6.25,8.753887,1.6555462885738117
12.77,10.426856,22.08,8.6411085,11.69,10.234306,2.98,9.464223,1.53,8.939001,19.38,8.302996,38.68,7.531617,3.4,8.938686,1.15,9.523999,0.95,9.1352215,2.25,8.490183,2.51,8.861777,5.742980261328885
1.36,9.991957,3.34,8.8731165,11.13,10.166035,21.34,10.400057,13.38,9.130616,32.76,6.573535,38.07,7.0574446,50.7,7.5055394,26.81,8.82746,35.98,8.031251,14.1,8.282575,20.86,8.649411,3.925493466777871
2.45,9.894361,0.99,8.837344,1.84,10.125076,1.64,10.213774,6.01,9.085007,6.04,6.6237507,2.76,7.537993,1.14,8.024237,11.51,8.944406,22.38,8.074614,8.64,8.04617,10.37,8.415315,3.352098971365027
8.62,9.992596,19.09,8.311227,15.79,10.259302,11.28,10.487818,0.7,8.943853,21.5,6.1530724,32.44,7.2799373,2.54,8.375456,2.72,9.052431,14.36,7.771538,2.06,8.464904,13.92,8.561731,1.5061162079510704
6.73,9.927097,19.2,7.8688083,8.04,10.1234255,6.33,10.375518,9.65,9.185778,37.78,4.9441876,16.4,7.8173804,7.66,8.681661,7.4,8.947796,4.01,7.9130526,13.6,8.365709,5.02,8.363246,1.7201834862385323
3.79,9.848258,1.35,8.414288,2.88,10.101998,1.57,10.239423,7.68,9.197854,2.08,5.7178483,12.44,8.355482,4.04,8.875642,7.94,8.947912,13.41,8.069144,10.31,8.200633,19.14,8.5487585,2.232415902140673
1.16,9.95845,0.36,8.667387,1.4,10.033863,1.45,9.949316,4.59,9.156884,1.92,6.6806884,3.43,8.724613,4.11,9.01928,3.21,9.126108,0.0,8.884331,0.74,8.681036,0.0,8.99216,1.946761189880456
0.0,10.103204,0.0,8.855562,0.0,10.094994,0.0,9.794427,0.0,8.899764,0.0,8.568319,0.0,8.845129,0.0,9.117664,0.0,9.272838,0.0,8.437903,0.0,8.706583,0.0,8.792604,2.60286349735891
0.0,10.387686,0.0,8.877035,0.0,10.394798,0.0,9.876174,0.0,8.767719,0.0,7.5334888,0.0,9.029067,0.0,9.098273,0.0,9.28677,0.36,8.4729,0.0,8.770991,0.0,8.779324,1.342090631081457
0.0,10.704976,0.0,9.458441,0.0,10.701775,0.0,10.153038,0.0,8.871272,0.0,7.841985,0.0,9.038346,0.0,9.058818,0.0,9.427362,0.0,8.831859,0.0,9.204433,0.0,8.953722,1.4567695301640258
0.0,10.905554,0.0,9.515625,0.0,10.866742,0.0,10.334145,0.0,9.143451,0.0,8.45667,0.0,9.601526,0.0,9.118406,0.0,9.926474,0.0,9.74805,0.0,9.995309,0.0,9.666467,1.247567417292188
0.0,11.001508,0.0,9.503965,0.0,10.973707,0.0,10.499915,0.0,9.281659,0.0,8.937469,0.0,9.705351,0.0,9.257524,0.0,10.039012,0.0,9.786101,0.0,10.056557,0.0,9.675271,0.7728662774534336
0.0,11.052266,0.0,9.47553,0.16,10.992406,0.12,10.601347,1.86,9.226027,0.0,9.017443,1.29,9.418426,0.0,9.225259,3.12,9.09024,7.77,8.412871,2.21,9.208886,6.21,8.820585,1.446344175701974
0.0,11.098645,0.16,9.436879,0.82,10.835298,0.46,10.619644,3.67,9.08884,3.46,7.265821,7.07,8.952845,1.08,8.980924,3.43,9.088787,0.77,8.829235,10.75,8.567438,0.34,9.134239,1.0953572421462328
3.89,9.608283,2.67,8.812648,4.18,9.661876,1.67,10.272101,3.33,9.123163,21.39,7.256512,9.9,8.932828,1.89,8.936541,2.67,9.096245,0.95,8.901987,1.97,8.806433,2.88,8.968769,1.83069224353628
0.0,10.707861,0.0,8.972635,0.76,10.447152,0.74,10.518875,2.13,9.117451,1.37,7.6281347,5.23,8.958515,2.24,8.957849,1.57,9.080679,0.36,9.074173,3.1,8.732646,1.71,9.05882,1.5412149013066443
0.0,10.815452,0.0,9.046796,0.0,10.725721,0.0,10.810459,0.0,9.072806,0.0,8.060242,0.0,8.948813,0.0,8.909716,0.0,9.040472,0.0,9.257819,0.0,9.126945,0.0,9.237198,1.2517375590770086
0.0,10.92764,0.0,9.125016,0.0,10.867998,0.0,10.944148,0.0,9.207292,0.0,7.667918,0.0,8.908242,0.0,8.88767,0.0,9.178112,0.0,9.656069,0.0,9.228781,0.0,9.376784,0.918126216291354
0.0,11.041097,0.0,9.210153,0.0,11.025994,0.0,11.075531,0.0,9.392742,0.0,7.498335,0.0,8.886807,0.0,8.901121,0.0,9.456099,0.0,9.7406225,0.0,9.561135,0.0,9.438005,1.1933555740895192
0.0,11.262479,0.0,9.356553,0.0,11.247854,0.0,11.224951,0.0,9.551243,0.0,8.8677635,0.0,9.36442,0.0,8.967106,0.0,9.612598,0.0,9.799009,0.0,9.742703,0.0,9.543062,0.7068390325271059
18.23,9.113191,4.17,9.085025,11.78,9.310935,0.0,11.313377,0.15,9.656136,0.0,9.201655,0.0,9.560408,0.0,9.044964,0.0,9.649596,0.0,9.798158,0.0,9.912133,0.0,9.58384,1.3566861273283293
6.29,8.901825,1.44,8.833646,4.06,9.128219,0.0,11.362812,0.3,9.71174,0.0,9.274121,0.0,9.532812,0.0,9.023906,0.0,9.609782,0.36,9.654414,0.0,9.870314,0.0,9.552184,0.93341673616903
0.0,9.6726885,0.0,8.723,0.0,9.996866,0.0,11.408337,0.0,9.802124,0.0,9.341753,0.0,9.508747,0.0,9.00554,0.0,9.572893,0.0,9.688365,0.0,9.826327,0.0,9.517423,0.9723380594940229
0.0,9.777771,0.0,8.808169,0.0,10.203594,0.0,11.451681,0.0,9.900207,0.0,9.404501,0.0,9.486559,0.0,8.989201,0.0,9.538241,0.0,9.661793,0.0,9.779285,0.0,9.479649,0.6818181818181817
0.0,10.007199,0.0,8.955589,0.0,10.497614,0.0,11.492861,0.0,10.006387,0.0,9.462098,0.0,9.466063,0.0,8.975098,0.0,9.506037,0.0,9.631598,0.0,9.729247,0.0,9.439419,0.8340283569641367
0.0,10.931633,0.0,9.255567,0.0,11.142828,0.0,11.532262,0.0,10.12161,0.0,9.513917,0.4,9.401492,0.0,8.96334,0.0,9.476313,0.0,9.598799,0.0,9.678429,0.0,9.397258,0.3523769808173478
0.0,11.286741,0.0,9.338286,0.24,11.2675085,0.0,11.571053,0.0,10.244626,0.0,9.559692,2.02,9.001633,0.1,8.936305,0.0,9.449082,0.0,9.570187,0.0,9.625555,0.0,9.352529,1.693772588268001
2.33,10.221753,0.41,9.311718,1.42,10.773358,0.66,11.239602,2.11,9.904285,0.55,9.2439995,2.22,8.862566,1.39,8.846592,2.28,8.894147,0.9,9.310672,4.98,9.14179,0.79,9.19037,1.6590214067278286
9.78,9.019765,8.23,9.454917,11.97,9.132253,6.21,9.043936,10.48,10.524629,14.07,8.097361,27.89,8.773015,6.0,9.0360985,10.46,8.961116,25.34,8.879885,8.73,9.0541725,27.14,8.875895,1.6242702251876562
0.0,9.972662,0.0,9.082642,0.0,10.002013,0.0,10.423239,0.0,10.024214,0.0,8.666654,0.0,8.76878,0.0,8.951952,0.0,8.872074,0.0,9.152758,0.0,9.18547,0.0,9.096211,1.5895190436474838
0.0,10.164097,0.0,8.959268,0.0,10.194166,0.0,10.655946,0.0,10.0299,0.88,8.407852,0.13,8.889232,0.0,8.913551,0.0,8.812213,0.0,9.1930275,0.0,9.158718,0.0,9.143084,0.7339449541284405
3.94,9.010859,10.22,9.509038,4.63,8.975267,1.06,10.274284,6.21,9.971757,10.79,8.420469,16.87,8.901113,2.01,9.060942,3.75,9.011565,0.86,9.183289,8.86,9.01792,0.77,9.14271,0.991103697525716
0.0,10.307195,0.88,9.4191,0.76,10.030007,0.14,10.939396,2.51,9.810579,3.14,8.021889,6.46,8.899593,0.42,8.936994,1.86,8.936808,0.52,9.183771,2.28,9.1,2.24,9.103136,0.5442035029190991
15.47,8.9649315,3.29,9.5061455,10.07,8.927125,1.35,10.677533,0.0,10.169624,0.0,8.70138,0.0,8.8979225,1.47,8.99903,0.5,8.76522,0.0,9.298147,2.69,9.089455,0.0,9.123663,3.51195440644982
